Mouser,Quantity
511-STM32F070C6T6,1
710-885012207016,12
660-RN73H1JTD1581D25,2
667-ECH-U1C104GX5,2
81-GRM2195C1H103FA1D,1
71-CRCW04021K00FKEDC,3
71-RCS06030000Z0EA,3
855-M20-9990445,1
855-M20-8750342,1
80-C0603C103M5RAUTO,1
71-CRCW0603100RFKEAC,1
72-T70YE-100K,1
71-CRCW1206100KFKEAC,9
581-TAJB106K020RNJV,7
732-7050CA8.00TJGA3,1
595-TLV74133PDBVR,1
612-LL3301NF065QG,1
755-ESR03EZPJ1R0,1
755-RU1C001ZPTL,1
863-ESD9X5.0ST5G,1
81-PVG5H502C03B00,1
863-ESD9B3.3ST5G,2
71-CRCW12060000Z0EAC,4
71-CRCW12060000Z0EAC,1
595-TLV9064IPWR,1
71-CRCW040210K0FKEDC,2
81-GRM1885C1H182GA1D,1
80-C0603C333J4RECLR,2
